algorithm,variant,runs,retained_fraction_mean,removed_fraction_mean,sensitivity_mean,specificity_mean,balanced_score_mean
flowcut,random_timewarp,30,0.7880277333333333,0.2119722666666667,0.6984362662123473,0.5216070651591026,0.610021665685725
flowcut,raw,30,0.9541947333333333,0.045805266666666664,0.6867048000432042,0.6360861972322049,0.6613954986377046
flowcut,source_timewarp,30,0.9377494,0.0622506,0.6707371552153533,0.6547103364262494,0.6642636844519473
flowmop,random_timewarp,30,0.85628,0.14372000000000001,0.7529750225640721,0.5988927760026961,0.6759338992833841
flowmop,raw,30,0.85628,0.14372000000000001,0.7529750225640721,0.5988927760026961,0.6759338992833841
flowmop,source_timewarp,30,0.85628,0.14372000000000001,0.7529750225640721,0.5988927760026961,0.6759338992833841
peacoqc,random_timewarp,30,0.6708333333333333,0.32916666666666666,0.7690247168492322,0.4637274287879238,0.6163760728185781
peacoqc,raw,30,0.6708333333333333,0.32916666666666666,0.7690247168492322,0.4637274287879238,0.6163760728185781
peacoqc,source_timewarp,30,0.6708333333333333,0.32916666666666666,0.7690247168492322,0.4637274287879238,0.6163760728185781
