sample,stage,method,raw_events,retained_events,retention_pct_raw,zombie_low_events,zombie_low_frequency_pct,zombie_low_recovery_pct,zombie_high_events,zombie_high_carryover_pct,zombie_low_selectivity_ratio,zombie_low_threshold_raw_upper_exclusive
trim_LB202_T.fcs,Time gate only,Manual,287752,256032,88.97661875503906,125764,49.1204224471941,98.00428599259692,130268,81.71012438294643,1.1994142308887639,12000.0
trim_LB202_T.fcs,Time gate only,FlowMOP,287752,236152,82.06789179571298,104657,44.3176428740811,81.55620494837328,131495,82.47975562483143,0.9888026986808857,12000.0
trim_LB202_T.fcs,Time gate only,FlowCut,287752,267500,92.96199505129417,120043,44.87588785046729,93.54607442041691,147457,92.4918614789214,1.0113978994977388,12000.0
trim_LB202_T.fcs,Time gate only,PeacoQC,287752,281002,97.65423003141593,125534,44.67370339001146,97.82505357490746,155468,97.51673179574351,1.0031617320790627,12000.0
trim_LB202_T.fcs,Time gate + matched manual debris/singlet,Manual,287752,108968,37.86872028691373,42071,38.60858233609867,32.78472628092733,66897,41.96089746404311,0.7813161362676055,12000.0
trim_LB202_T.fcs,Time gate + matched manual debris/singlet,FlowMOP,287752,90992,31.62167421946676,35175,38.65724459293125,27.410870835768556,55817,35.011008173019626,0.7829214942999576,12000.0
trim_LB202_T.fcs,Time gate + matched manual debris/singlet,FlowCut,287752,103452,35.95179182073452,40116,38.77740401345552,31.26125073056692,63336,39.72727329749666,0.7868964601841122,12000.0
trim_LB202_T.fcs,Time gate + matched manual debris/singlet,PeacoQC,287752,108308,37.639356112207736,41790,38.58440743066071,32.56575102279369,66518,41.72317110652524,0.7805195568584338,12000.0
trim_LB202_T.fcs,Official complete workflow,Manual,287752,108968,37.86872028691373,42071,38.60858233609867,32.78472628092733,66897,41.96089746404311,0.7813161362676055,12000.0
trim_LB202_T.fcs,Official complete workflow,FlowMOP,287752,177755,61.77368011343101,89845,50.544288486962394,70.01363724917202,87910,55.14122451027743,1.2697149523061935,12000.0
trim_LB236_T.fcs,Time gate only,Manual,145520,135395,93.04219351291918,50001,36.92972414047786,97.43364901204257,85394,90.64988004500967,1.0748348366667955,12000.0
trim_LB236_T.fcs,Time gate only,FlowMOP,145520,111320,76.49807586586036,39036,35.066475026949334,76.06687711913948,72284,76.7329780684062,0.9913192350142738,12000.0
trim_LB236_T.fcs,Time gate only,FlowCut,145520,138020,94.84606926882903,48944,35.4615273148819,95.3739428660509,89076,94.55850194263391,1.0086236658435186,12000.0
trim_LB236_T.fcs,Time gate only,PeacoQC,145520,145520,100.0,51318,35.26525563496427,100.0,94202,100.0,1.0,12000.0
trim_LB236_T.fcs,Time gate + matched manual debris/singlet,Manual,145520,56134,38.574766355140184,13275,23.648769016995047,25.86811645036829,42859,45.4969108936116,0.5685686333926582,12000.0
trim_LB236_T.fcs,Time gate + matched manual debris/singlet,FlowMOP,145520,43702,30.031610775151183,10202,23.344469360669994,19.87996414513426,33500,35.56187766714083,0.5590245917611754,12000.0
trim_LB236_T.fcs,Time gate + matched manual debris/singlet,FlowCut,145520,54617,37.53229796591534,12945,23.701411648387865,25.22506722787326,41672,44.23685272074903,0.5702274388078606,12000.0
trim_LB236_T.fcs,Time gate + matched manual debris/singlet,PeacoQC,145520,57474,39.4956019791094,13573,23.615895883355954,26.44880938462138,43901,46.60304452134774,0.5675339380993835,12000.0
trim_LB236_T.fcs,Official complete workflow,Manual,145520,56134,38.574766355140184,13275,23.648769016995047,25.86811645036829,42859,45.4969108936116,0.5685686333926582,12000.0
trim_LB236_T.fcs,Official complete workflow,FlowMOP,145520,77347,53.152144035184165,20870,26.98230054171461,40.66799173779181,56477,59.953079552451115,0.6783303216678407,12000.0
trim_LB262_T.fcs,Time gate only,Manual,301872,277236,91.83892510733025,227875,82.19531373991833,96.3461400237615,49361,75.52750363399893,1.275643115263656,12000.0
trim_LB262_T.fcs,Time gate only,FlowMOP,301872,265872,88.07441564636667,208526,78.43097430342421,88.1653327244976,57346,87.74539055925331,1.0047859171013742,12000.0
trim_LB262_T.fcs,Time gate only,FlowCut,301872,264000,87.45428525997774,207019,78.41628787878788,87.52816922250832,56981,87.18690230280774,1.0039141993887493,12000.0
trim_LB262_T.fcs,Time gate only,PeacoQC,301872,301872,100.0,236517,78.35009540467483,100.0,65355,100.0,1.0,12000.0
trim_LB262_T.fcs,Time gate + matched manual debris/singlet,Manual,301872,205138,67.95529230932316,172815,84.24328988290809,73.06662946003881,32323,49.45757784408232,1.477359641234055,12000.0
trim_LB262_T.fcs,Time gate + matched manual debris/singlet,FlowMOP,301872,185150,61.3339428632003,156211,84.36997029435592,66.0464152682471,28939,44.27970315966644,1.4915731261813778,12000.0
trim_LB262_T.fcs,Time gate + matched manual debris/singlet,FlowCut,301872,183887,60.91555361212699,155096,84.3431020137367,65.5749903812411,28791,44.05324764746385,1.4885392992136472,12000.0
trim_LB262_T.fcs,Time gate + matched manual debris/singlet,PeacoQC,301872,209658,69.45261567816823,176627,84.24529471806466,74.67835293023334,33031,50.5408920511055,1.4775828027475402,12000.0
trim_LB262_T.fcs,Official complete workflow,Manual,301872,205138,67.95529230932316,172815,84.24328988290809,73.06662946003881,32323,49.45757784408232,1.477359641234055,12000.0
trim_LB262_T.fcs,Official complete workflow,FlowMOP,301872,158568,52.528223882970266,137885,86.95638464255083,58.29813501777885,20683,31.647157830311375,1.8421286148464617,12000.0
