sample,stage,method,raw_events,retained_events,retention_pct_raw,zombie_low_events,zombie_low_frequency_pct,zombie_low_recovery_pct,zombie_high_events,zombie_high_carryover_pct,zombie_low_selectivity_ratio,zombie_low_threshold_raw_upper_exclusive,retention_relative_manual_pct,zombie_low_recovery_relative_manual_pct,zombie_high_carryover_relative_manual_pct,zombie_low_selectivity_relative_manual_pct,zombie_low_frequency_minus_manual_pp
trim_LB202_T.fcs,Time gate only,Manual,287752,256032,88.97661875503906,125764,49.1204224471941,98.00428599259692,130268,81.71012438294643,1.1994142308887639,12000.0,100.0,100.0,100.0,100.0,0.0
trim_LB202_T.fcs,Time gate only,FlowMOP,287752,236152,82.06789179571298,104657,44.3176428740811,81.55620494837328,131495,82.47975562483143,0.9888026986808857,12000.0,92.23534558180229,83.21697783149392,100.94190438173611,82.44046745620022,-4.802779573113
trim_LB202_T.fcs,Time gate only,FlowCut,287752,267500,92.96199505129417,120043,44.87588785046729,93.54607442041691,147457,92.4918614789214,1.0113978994977388,12000.0,104.47912760904886,95.45100346681086,113.1951054748672,84.32432044334631,-4.244534596726815
trim_LB202_T.fcs,Time gate only,PeacoQC,287752,281002,97.65423003141593,125534,44.67370339001146,97.82505357490746,155468,97.51673179574351,1.0031617320790627,12000.0,109.75268716410449,99.81711777615214,119.34473546841895,83.63763796063364,-4.446719057182641
trim_LB202_T.fcs,Time gate + matched manual debris/singlet,Manual,287752,108968,37.86872028691373,42071,38.60858233609867,32.78472628092733,66897,41.96089746404311,0.7813161362676055,12000.0,100.0,100.0,100.0,100.0,0.0
trim_LB202_T.fcs,Time gate + matched manual debris/singlet,FlowMOP,287752,90992,31.62167421946676,35175,38.65724459293125,27.410870835768556,55817,35.011008173019626,0.7829214942999576,12000.0,83.5034138462668,83.60866154833496,83.43722438973347,100.2054684343294,0.04866225683257852
trim_LB202_T.fcs,Time gate + matched manual debris/singlet,FlowCut,287752,103452,35.95179182073452,40116,38.77740401345552,31.26125073056692,63336,39.72727329749666,0.7868964601841122,12000.0,94.93796343880773,95.35309357990066,94.67689134041885,100.7142209993466,0.1688216773568456
trim_LB202_T.fcs,Time gate + matched manual debris/singlet,PeacoQC,287752,108308,37.639356112207736,41790,38.58440743066071,32.56575102279369,66518,41.72317110652524,0.7805195568584338,12000.0,99.39431759782688,99.33208148130544,99.43345740466687,99.89804646644353,-0.024174905437959637
trim_LB202_T.fcs,Official complete workflow,Manual,287752,108968,37.86872028691373,42071,38.60858233609867,32.78472628092733,66897,41.96089746404311,0.7813161362676055,12000.0,100.0,100.0,100.0,100.0,0.0
trim_LB202_T.fcs,Official complete workflow,FlowMOP,287752,177755,61.77368011343101,89845,50.544288486962394,70.01363724917202,87910,55.14122451027743,1.2697149523061935,12000.0,163.1258718155789,213.55565591500084,131.41097508109482,162.50975672558084,11.935706150863723
trim_LB236_T.fcs,Time gate only,Manual,145520,135395,93.04219351291918,50001,36.92972414047786,97.43364901204257,85394,90.64988004500967,1.0748348366667955,12000.0,100.0,100.0,100.0,100.0,0.0
trim_LB236_T.fcs,Time gate only,FlowMOP,145520,111320,76.49807586586036,39036,35.066475026949334,76.06687711913948,72284,76.7329780684062,0.9913192350142738,12000.0,82.21869345249085,78.07043859122817,84.64763332318431,92.22991302444991,-1.863249113528525
trim_LB236_T.fcs,Time gate only,FlowCut,145520,138020,94.84606926882903,48944,35.4615273148819,95.3739428660509,89076,94.55850194263391,1.0086236658435186,12000.0,101.93877174194026,97.88604227915441,104.31177834508277,93.8398748752314,-1.4681968255959603
trim_LB236_T.fcs,Time gate only,PeacoQC,145520,145520,100.0,51318,35.26525563496427,100.0,94202,100.0,1.0,12000.0,107.47811957605525,102.63394732105357,110.3145420052931,93.03755013199347,-1.6644685055135895
trim_LB236_T.fcs,Time gate + matched manual debris/singlet,Manual,145520,56134,38.574766355140184,13275,23.648769016995047,25.86811645036829,42859,45.4969108936116,0.5685686333926582,12000.0,100.0,99.99999999999999,100.00000000000001,100.0,0.0
trim_LB236_T.fcs,Time gate + matched manual debris/singlet,FlowMOP,145520,43702,30.031610775151183,10202,23.344469360669994,19.87996414513426,33500,35.56187766714083,0.5590245917611754,12000.0,77.8529946200164,76.85122410546138,78.16327959121772,98.32139146077522,-0.3042996563250533
trim_LB236_T.fcs,Time gate + matched manual debris/singlet,FlowCut,145520,54617,37.53229796591534,12945,23.701411648387865,25.22506722787326,41672,44.23685272074903,0.5702274388078606,12000.0,97.29753803399011,97.51412429378531,97.23045334702164,100.29175113043158,0.05264263139281766
trim_LB236_T.fcs,Time gate + matched manual debris/singlet,PeacoQC,145520,57474,39.4956019791094,13573,23.615895883355954,26.44880938462138,43901,46.60304452134774,0.5675339380993835,12000.0,102.38714504578331,102.24482109227873,102.43122798012085,99.81801752110371,-0.032873133639093055
