sample,sample_group,method,method_family,raw_events,retained_events,retention_pct_raw,live_events,live_pct_retained,live_recovery_pct,dead_events,dead_removal_pct,live_gate_raw_upper_exclusive,zombie_high_pct_retained,zombie_high_recovery_pct,live_enrichment_pp,zombie_high_enrichment_pp,live_to_zombie_high_recovery_ratio
trim_LB180_NT.fcs,NT,Raw,Raw,87792,87792,100.0,72656,82.75924913431747,100.0,15136,0.0,12000.0,17.24075086568253,100.0,0.0,-0.0,1.0
trim_LB180_NT.fcs,NT,Manual: debris,Manual,87792,53032,60.40641516311281,44164,83.27802081761955,60.78506936798062,8868,41.411205073995774,12000.0,16.72197918238045,58.588794926004226,0.5187716833020772,-0.5187716833020772,1.0374862538946263
trim_LB180_NT.fcs,NT,Manual: doublet,Manual,87792,70465,80.2635775469291,60107,85.30050379621089,82.72819863466196,10358,31.567124735729383,12000.0,14.69949620378911,68.43287526427062,2.5412546618934186,-2.5412546618934186,1.2088955537113761
trim_LB180_NT.fcs,NT,Manual: time,Manual,87792,85851,97.78909240021868,71252,82.99495637791057,98.06760625412905,14599,3.547832980972516,12000.0,17.00504362208943,96.45216701902748,0.23570724359309736,-0.23570724359309736,1.0167486048787568
trim_LB180_NT.fcs,NT,Manual: all 3,Manual,87792,50966,58.05312556952798,42834,84.04426480398698,58.95452543492623,8132,46.27378435517971,12000.0,15.955735196013023,53.72621564482029,1.2850156696695052,-1.2850156696695052,1.0973139411990205
trim_LB192_NT.fcs,NT,Raw,Raw,338456,338456,100.0,333714,98.59893161888104,100.0,4742,0.0,12000.0,1.4010683811189608,100.0,0.0,-0.0,1.0
trim_LB192_NT.fcs,NT,Manual: debris,Manual,338456,266909,78.86076772165363,262915,98.50360984455376,78.78452806894526,3994,15.77393504850274,12000.0,1.4963901554462353,84.22606495149726,-0.09532177432727451,0.09532177432727451,0.9353936707634912
trim_LB192_NT.fcs,NT,Manual: doublet,Manual,338456,301916,89.20391424586948,298249,98.7854237602512,89.37263644917505,3667,22.66975959510755,12000.0,1.2145762397487943,77.33024040489245,0.18649214137016656,-0.18649214137016656,1.155726866762989
trim_LB192_NT.fcs,NT,Manual: time,Manual,338456,329204,97.26640981397875,324779,98.6558486531148,97.32255763917604,4425,6.6849430619991566,12000.0,1.344151346885198,93.31505693800085,0.05691703423376282,-0.05691703423376282,1.0429459171185824
trim_LB192_NT.fcs,NT,Manual: all 3,Manual,338456,250374,73.9753468693124,247017,98.65920582808118,74.02056851076071,3357,29.20708561788275,12000.0,1.340794171918816,70.79291438211725,0.060274209200144924,-0.060274209200144924,1.045592898057871
trim_LB200_NT.fcs,NT,Raw,Raw,409824,409824,100.0,372010,90.77311236042787,100.0,37814,0.0,12000.0,9.226887639572126,100.0,0.0,-0.0,1.0
trim_LB200_NT.fcs,NT,Manual: debris,Manual,409824,150108,36.62743031154837,135068,89.98054733924907,36.30762613908228,15040,60.2263711852753,12000.0,10.019452660750929,39.7736288147247,-0.7925650211788025,0.7925650211788025,0.9128567651750382
trim_LB200_NT.fcs,NT,Manual: doublet,Manual,409824,175876,42.91500741781838,166991,94.94814528417749,44.88884707400339,8885,76.50341143491828,12000.0,5.051854715822515,23.496588565081723,4.175032923749612,-4.175032923749612,1.910441039118023
trim_LB200_NT.fcs,NT,Manual: time,Manual,409824,380394,92.8188685874912,359317,94.45916602259764,96.5879949463724,21077,44.26138467234357,12000.0,5.540833977402357,55.73861532765643,3.686053662169769,-3.686053662169769,1.7328739578223302
trim_LB200_NT.fcs,NT,Manual: all 3,Manual,409824,128302,31.306609666588585,120460,93.88785833424264,32.38084997715115,7842,79.26164912466282,12000.0,6.112141665757363,20.738350875337176,3.114745973814763,-3.114745973814763,1.5613994657434247
trim_LB202_T.fcs,T,Raw,Raw,287752,287752,100.0,128325,44.59569351385915,100.0,159427,0.0,12000.0,55.40430648614085,100.0,0.0,-0.0,1.0
trim_LB202_T.fcs,T,Manual: debris,Manual,287752,128264,44.57449470377269,44577,34.75410091685898,34.73758036236119,83687,47.50763672401789,12000.0,65.24589908314101,52.49236327598211,-9.841592597000172,9.841592597000172,0.6617644585694502
trim_LB202_T.fcs,T,Manual: doublet,Manual,287752,180817,62.8377908754761,86770,47.9877445151728,67.61737775180207,94047,41.00936478764576,12000.0,52.0122554848272,58.99063521235424,3.3920510013136465,-3.3920510013136465,1.1462391870911937
trim_LB202_T.fcs,T,Manual: time,Manual,287752,256032,88.97661875503906,125764,49.1204224471941,98.00428599259692,130268,18.28987561705357,12000.0,50.8795775528059,81.71012438294643,4.5247289333349485,-4.5247289333349485,1.1994142308887639
trim_LB202_T.fcs,T,Manual: all 3,Manual,287752,108968,37.86872028691373,42071,38.60858233609867,32.78472628092733,66897,58.03910253595689,12000.0,61.39141766390133,41.96089746404311,-5.987111177760482,5.987111177760482,0.7813161362676055
trim_LB202_T.fcs,T,FlowMOP: debris,FlowMOP,287752,267803,93.06729405877284,110630,41.31021683849696,86.21079290863042,157173,1.4138132185890722,12000.0,58.68978316150304,98.58618678141093,-3.2854766753621902,3.2854766753621902,0.8744713202041204
trim_LB202_T.fcs,T,FlowMOP: doublet,FlowMOP,287752,238119,82.75146654063221,127677,53.61898882491527,99.49503214494447,110442,30.725661274439084,12000.0,46.38101117508473,69.27433872556091,9.023295311056117,-9.023295311056117,1.4362465809902087
trim_LB202_T.fcs,T,FlowMOP: time,FlowMOP,287752,236152,82.06789179571298,104657,44.3176428740811,81.55620494837328,131495,17.520244375168573,12000.0,55.6823571259189,82.47975562483143,-0.27805063977805133,0.27805063977805133,0.9888026986808857
trim_LB202_T.fcs,T,FlowMOP: all 3,FlowMOP,287752,178524,62.04092412911118,89845,50.32656673612512,70.01363724917202,88679,44.376423065101896,12000.0,49.67343326387488,55.623576934898104,5.73087322226597,-5.73087322226597,1.2587043319978515
trim_LB202_T.fcs,T,FlowMOP: final,FlowMOP,287752,177755,61.77368011343101,89845,50.5442884869624,70.01363724917202,87910,44.85877548972257,12000.0,49.4557115130376,55.14122451027743,5.948594973103248,-5.948594973103248,1.2697149523061935
trim_LB236_T.fcs,T,Raw,Raw,145520,145520,100.0,51318,35.26525563496427,100.0,94202,0.0,12000.0,64.73474436503574,100.0,0.0,-0.0,1.0
trim_LB236_T.fcs,T,Manual: debris,Manual,145520,73258,50.34222100054976,13862,18.92216549728357,27.011964612806423,59396,36.94826012186578,12000.0,81.07783450271643,63.05173987813422,-16.3430901376807,16.3430901376807,0.42840950408370776
trim_LB236_T.fcs,T,Manual: doublet,Manual,145520,69313,47.63125343595382,20754,29.94243504104569,40.44195019291477,48559,48.45226216003906,12000.0,70.05756495895432,51.54773783996094,-5.322820593918578,5.322820593918578,0.7845533458417506
trim_LB236_T.fcs,T,Manual: time,Manual,145520,135395,93.04219351291918,50001,36.92972414047786,97.43364901204257,85394,9.35011995499034,12000.0,63.07027585952214,90.64988004500967,1.6644685055135895,-1.6644685055135895,1.0748348366667955
trim_LB236_T.fcs,T,Manual: all 3,Manual,145520,56134,38.57476635514018,13275,23.648769016995047,25.86811645036829,42859,54.5030891063884,12000.0,76.35123098300495,45.4969108936116,-11.616486617969223,11.616486617969223,0.5685686333926582
trim_LB236_T.fcs,T,FlowMOP: debris,FlowMOP,145520,115533,79.39321055525014,27646,23.92909385197303,53.87193577302311,87887,6.703679327402815,12000.0,76.07090614802698,93.29632067259719,-11.33616178299124,11.33616178299124,0.5774282992581751
trim_LB236_T.fcs,T,FlowMOP: doublet,FlowMOP,145520,133286,91.59290819131392,51291,38.48191107843285,99.94738688179586,81995,12.958323602471284,12000.0,61.51808892156715,87.04167639752872,3.216655443468582,-3.216655443468582,1.1482704724725816
trim_LB236_T.fcs,T,FlowMOP: time,FlowMOP,145520,111320,76.49807586586036,39036,35.066475026949334,76.06687711913948,72284,23.26702193159381,12000.0,64.93352497305067,76.7329780684062,-0.19878060801493547,0.19878060801493547,0.9913192350142738
trim_LB236_T.fcs,T,FlowMOP: all 3,FlowMOP,145520,78778,54.13551401869159,20884,26.509939323161287,40.69527261389766,57894,38.54270609965818,12000.0,73.49006067683871,61.45729390034182,-8.755316311802982,8.755316311802982,0.6621715671355214
trim_LB236_T.fcs,T,FlowMOP: final,FlowMOP,145520,77347,53.152144035184165,20870,26.98230054171461,40.66799173779181,56477,40.046920447548885,12000.0,73.01769945828539,59.953079552451115,-8.282955093249658,8.282955093249658,0.6783303216678407
trim_LB262_T.fcs,T,Raw,Raw,301872,301872,100.0,236517,78.35009540467483,100.0,65355,0.0,12000.0,21.649904595325168,100.0,0.0,-0.0,1.0
trim_LB262_T.fcs,T,Manual: debris,Manual,301872,223996,74.20231091323475,187212,83.578278183539,79.1537183373711,36784,43.716624588784335,12000.0,16.421721816461,56.283375411215665,5.228182778864166,-5.228182778864166,1.406342774559289
