sample_group,method_family,method,n,retention_mean,live_frequency_mean,zombie_high_frequency_mean,live_recovery_mean,zombie_high_recovery_mean,live_enrichment_pp_mean,zombie_high_enrichment_pp_mean,selectivity_ratio_mean
NT,Raw,Raw,3,100.0,90.71043103787547,9.28956896212454,100.0,100.0,0.0,0.0,1.0
NT,Manual,Manual: debris,3,58.63153773210494,90.5873926671408,9.412607332859205,58.62574119200272,60.86282956407539,-0.12303837073466657,0.12303837073466657,0.9619122299443852
NT,Manual,Manual: doublet,3,70.794166403539,93.01135761354652,6.988642386453473,72.32989405261347,56.41990141141493,2.3009265756710655,-2.3009265756710655,1.4250211531974628
NT,Manual,Manual: time,3,95.95812360056289,92.03665701787433,7.9633429821256625,97.32605294655916,81.8352797615616,1.3262259799988765,-1.3262259799988765,1.2641894932732232
NT,Manual,Manual: all 3,3,54.445027368476325,92.19710965543693,7.8028903445630675,55.11864797427936,48.41916030075824,1.486678617561471,-1.486678617561471,1.2347687683334387
T,Raw,Raw,3,100.0,52.73701485116609,47.26298514883391,100.0,100.0,0.0,0.0,1.0
T,Manual,Manual: debris,3,56.37300887251907,45.75151486589385,54.24848513410615,46.9677544375129,57.275826188444,-6.985499985272235,6.985499985272235,0.8321722457374823
T,Manual,Manual: doublet,3,62.3445382417934,53.45166453982747,46.54833546017253,62.86858600368485,57.564253542621366,0.7146496886613866,-0.7146496886613866,1.0755671766666186
T,Manual,Manual: time,3,91.2859124584295,56.08182010919677,43.91817989080323,97.26135834280034,82.629169353985,3.34480525803068,-3.34480525803068,1.1832973942730718
T,Manual,Manual: all 3,3,48.13303673920304,48.833410190524944,51.166589809475056,43.90649073044481,45.63897210218307,-3.9036046606411383,3.9036046606411383,0.9423995687219685
T,FlowMOP,FlowMOP: debris,3,80.0745541695866,48.70309466625792,51.296905333742096,70.00842326992513,83.91952298807387,-4.033920184908169,4.033920184908169,0.8733405198054669
T,FlowMOP,FlowMOP: doublet,3,88.85088722933567,57.80839969318936,42.19160030681064,98.38365758197443,78.61899455981192,5.071384842023273,-5.071384842023273,1.2625927194930602
T,FlowMOP,FlowMOP: time,3,82.21346110264666,52.60503073481821,47.39496926518179,81.92947159733679,82.3193747508303,-0.1319841163478704,0.1319841163478704,0.9949692835988445
T,FlowMOP,FlowMOP: all 3,3,56.59685091313926,54.09171096736253,45.90828903263747,56.391209700336766,51.04695031462578,1.3546961161964468,-1.3546961161964468,1.1807315253367319
T,FlowMOP,FlowMOP: final,3,55.81801601052848,54.827657890409284,45.172342109590716,56.32658800158089,48.9138206310133,2.090643039243196,-2.090643039243196,1.2633912962734988
