gate,sample,manual_retention_pct_raw,flowmop_retention_pct_raw,flowmop_retention_relative_manual_pct,manual_zombie_low_recovery_pct,flowmop_zombie_low_recovery_pct,flowmop_low_recovery_relative_manual_pct,manual_zombie_high_recovery_pct,flowmop_zombie_high_recovery_pct,flowmop_high_recovery_relative_manual_pct,manual_zombie_low_frequency_pct,flowmop_zombie_low_frequency_pct,flowmop_minus_manual_zombie_low_frequency_pp,manual_live_selectivity_ratio,flowmop_live_selectivity_ratio,flowmop_zombie_low_selectivity_relative_manual_pct
Debris,trim_LB202_T.fcs,44.57449470377269,93.06729405877284,208.79046341919792,34.73758036236119,86.21079290863042,248.1773111694372,52.49236327598211,98.58618678141092,187.8105321017601,34.75410091685898,41.31021683849696,6.556115921637982,0.6617644585694502,0.8744713202041204,132.14238221473587
Debris,trim_LB236_T.fcs,50.34222100054976,79.39321055525014,157.70700810832943,27.011964612806423,53.87193577302311,199.43731063338623,63.05173987813422,93.2963206725972,147.9678766246886,18.92216549728357,23.92909385197303,5.00692835468946,0.4284095040837077,0.5774282992581751,134.78419450408606
Debris,trim_LB262_T.fcs,74.20231091323475,67.76315789473684,91.32216646725831,79.1537183373711,69.94254112812187,88.36292545349657,56.28337541121567,59.87606151021345,106.38321009134404,83.578278183539,80.86997330830376,-2.7083048752352425,1.406342774559289,1.1681219399541054,83.06096928042058
Doublet,trim_LB202_T.fcs,62.8377908754761,82.75146654063221,131.6906043126476,67.61737775180207,99.49503214494447,147.14417425377434,58.99063521235424,69.27433872556091,117.43277297521452,47.9877445151728,53.61898882491527,5.631244309742471,1.1462391870911937,1.4362465809902087,125.30077466946193
Doublet,trim_LB236_T.fcs,47.63125343595382,91.59290819131392,192.2958175234084,40.44195019291477,99.94738688179586,247.1379011274935,51.54773783996094,87.04167639752872,168.85644267797937,29.94243504104569,38.48191107843285,8.53947603738716,0.7845533458417506,1.1482704724725816,146.3597699963407
Doublet,trim_LB262_T.fcs,76.56457041395028,92.20828695606085,120.43205683455416,80.54643006633772,95.70855371918296,118.82407903163154,62.15438757554892,79.54096855634612,127.97321582432734,82.42481406326392,81.32429917621995,-1.1005148870439712,1.2959089970669118,1.20326110501639,92.85074088842535
Time,trim_LB202_T.fcs,88.97661875503906,82.06789179571298,92.23534558180228,98.00428599259692,81.55620494837328,83.21697783149392,81.71012438294643,82.47975562483143,100.94190438173612,49.1204224471941,44.3176428740811,-4.802779573113,1.199414230888764,0.9888026986808856,82.44046745620021
Time,trim_LB236_T.fcs,93.04219351291918,76.49807586586036,82.21869345249085,97.43364901204257,76.06687711913948,78.07043859122817,90.64988004500968,76.7329780684062,84.6476333231843,36.92972414047786,35.066475026949334,-1.863249113528525,1.0748348366667957,0.9913192350142738,92.2299130244499
Time,trim_LB262_T.fcs,91.83892510733024,88.07441564636667,95.9009652426092,96.3461400237615,88.1653327244976,91.50894130554032,75.52750363399893,87.74539055925331,116.17673872085248,82.19531373991833,78.43097430342421,-3.764339436494126,1.275643115263656,1.0047859171013742,78.76700819207575
Final (all three),trim_LB202_T.fcs,37.86872028691373,61.77368011343101,163.1258718155789,32.78472628092733,70.01363724917202,213.55565591500084,41.96089746404311,55.14122451027743,131.41097508109482,38.60858233609867,50.5442884869624,11.93570615086373,0.7813161362676055,1.2697149523061937,162.50975672558087
Final (all three),trim_LB236_T.fcs,38.57476635514018,53.152144035184165,137.7899312359711,25.86811645036829,40.66799173779181,157.21280602636534,45.4969108936116,59.95307955245112,131.77395646188666,23.648769016995047,26.98230054171461,3.3335315247195645,0.5685686333926582,0.6783303216678407,119.30491445161734
Final (all three),trim_LB262_T.fcs,67.95562357555521,52.528223882970266,77.29783220158039,73.06662946003881,58.29813501777885,79.78763417527414,49.4591079488945,31.64715783031137,63.986511570350196,84.24287921848112,86.95638464255083,2.7135054240697087,1.4773139365056418,1.842128614846462,124.69445859312293
