dataset,synthetic_bin_size,input_name,mix_method,algorithm,exclude_primary_5050,retained_target_purity,removed_nontarget_purity
largecut,5000,C1C05_1585_segment.fcs,Segment,flowmop,False,1.0,0.898376623376623
largecut,5000,C1C05_1585_segment.fcs,Segment,peacoqc,False,1.0,0.621797752808989
largecut,5000,C1C05_1585_segment.fcs,Segment,flowcut,False,1.0,0.568561643835616
largecut,5000,C1C05_4060_segment.fcs,Segment,flowmop,False,0.997036854911869,1.0
largecut,5000,C1C05_4060_segment.fcs,Segment,peacoqc,False,1.0,0.791914141414141
largecut,5000,C1C05_4060_segment.fcs,Segment,flowcut,False,0.601980747766276,0.417923076923077
largecut,5000,C1C05_5545_segment.fcs,Segment,flowmop,False,0.618925004356479,0.941176470588235
largecut,5000,C1C05_5545_segment.fcs,Segment,peacoqc,False,1.0,0.787104511627253
largecut,5000,C1C05_5545_segment.fcs,Segment,flowcut,False,0.571398919825734,0.783333333333333
largecut,5000,C3C05_1090_segment.fcs,Segment,flowmop,False,1.0,0.505406504065041
largecut,5000,C3C05_1090_segment.fcs,Segment,peacoqc,False,0.995684349537787,0.5
largecut,5000,C3C05_1090_segment.fcs,Segment,flowcut,False,1.0,0.629518987341772
largecut,5000,C3C05_1585_segment.fcs,Segment,flowmop,False,1.0,0.713144329896907
largecut,5000,C3C05_1585_segment.fcs,Segment,peacoqc,False,0.92667320067161,0.837837837837838
largecut,5000,C3C05_1585_segment.fcs,Segment,flowcut,False,1.0,0.557114093959732
largecut,5000,C3C05_2575_segment.fcs,Segment,flowmop,False,1.0,0.777083333333333
largecut,5000,C3C05_2575_segment.fcs,Segment,peacoqc,False,1.0,0.842937853107345
largecut,5000,C3C05_2575_segment.fcs,Segment,flowcut,False,0.750728171780803,0.318471337579618
largecut,5000,C3C05_9010_segment.fcs,Segment,flowmop,False,1.0,0.243801186173485
largecut,5000,C3C05_9010_segment.fcs,Segment,peacoqc,False,1.0,0.659197676458549
largecut,5000,C3C05_9010_segment.fcs,Segment,flowcut,False,1.0,0.62421551978736
